accession	organism	kingdom	length	sp_cleavage_site
P26780	Sinapis alba	Plants	99	30
P09584	Oncorhynchus keta	Metazoa	210	23
Q8CEK3	Mus musculus	Metazoa	90	23
P23229	Homo sapiens	Metazoa	1130	23
P00625	Ovophis okinavensis	Metazoa	139	16
P02748	Homo sapiens	Metazoa	559	21
P0DJI9	Homo sapiens	Metazoa	122	18
P60616	Bungarus multicinctus	Metazoa	95	21
P0DSJ6	Myrmecia gulosa	Metazoa	62	24
Q6UXB8	Homo sapiens	Metazoa	463	27
P10764	Ovis aries	Metazoa	179	24
Q55P57	Cryptococcus neoformans var. neoformans serotype D (strain B-3501A)	Fungi	624	20
Q69CK0	Ophiophagus hannah	Metazoa	84	21
P56742	Crotalus atrox	Metazoa	516	18
Q6IWZ0	Aplysia californica	Metazoa	535	18
Q8NAC3	Homo sapiens	Metazoa	791	20
P01591	Homo sapiens	Metazoa	159	22
Q9NS68	Homo sapiens	Metazoa	423	29
P31854	Vipera berus berus	Metazoa	138	16
C0HJM9	Tityus fasciolatus	Metazoa	84	20
P01083	Triticum aestivum	Plants	153	30
P42264	Rattus norvegicus	Metazoa	919	31
Q06703	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	312	44
Q9SW93	Lilium longiflorum	Plants	113	22
P13686	Homo sapiens	Metazoa	325	21
Q13145	Homo sapiens	Metazoa	260	20
P48819	Sus scrofa	Metazoa	459	19
P12725	Ovis aries	Metazoa	416	24
P13501	Homo sapiens	Metazoa	91	23
Q5B1W7	Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139)	Fungi	385	18
P80958	Naja atra	Metazoa	82	21
P49125	Latrodectus tredecimguttatus	Metazoa	88	18
Q02942	Blaberus discoidalis	Metazoa	726	16
P19034	Bos taurus	Metazoa	101	22
Q9N4D8	Caenorhabditis elegans	Metazoa	123	17
P10459	Laticauda laticaudata	Metazoa	83	21
P02752	Gallus gallus	Metazoa	238	17
P32472	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	135	17
P79208	Ovis aries	Metazoa	603	16
Q6UW10	Homo sapiens	Metazoa	78	19
P10822	Psophocarpus tetragonolobus	Plants	207	24
A0A1W6EVM7	Ampulex compressa	Metazoa	50	26
Q9N2D4	Callithrix jacchus	Metazoa	387	15
P02221	Chironomus thummi thummi	Metazoa	158	15
P01484	Androctonus australis	Metazoa	85	19
P13691	Hordeum vulgare	Plants	152	30
P16636	Rattus norvegicus	Metazoa	411	21
Q7Z0H4	Olivierus martensii	Metazoa	55	23
Q62867	Rattus norvegicus	Metazoa	317	24
Q64385	Mus musculus	Metazoa	432	23
P01231	Ovis aries	Metazoa	141	20
Q2U4L7	Aspergillus oryzae (strain ATCC 42149 / RIB 40)	Fungi	690	20
P48747	Oryctolagus cuniculus	Metazoa	557	21
Q9BWV1	Homo sapiens	Metazoa	1114	30
P47710	Homo sapiens	Metazoa	185	15
B5LYJ9	Remusatia vivipara	Plants	256	23
Q8JFY4	Anguilla japonica	Metazoa	111	26
P19656	Zea mays	Plants	120	27
P54660	Dictyostelium discoideum	Other	143	22
Q6J4Q1	Apis mellifera	Metazoa	683	21
P01718	Homo sapiens	Metazoa	113	20
C1IC50	Walterinnesia aegyptia	Metazoa	81	24
Q9R100	Mus musculus	Metazoa	827	25
P00750	Homo sapiens	Metazoa	562	22
Q25255	Lucilia cuprina	Metazoa	356	23
P00635	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	467	17
P14314	Homo sapiens	Metazoa	528	14
O43866	Homo sapiens	Metazoa	347	19
Q9TTE1	Bos taurus	Metazoa	411	24
P20959	Bos taurus	Metazoa	291	27
Q03180	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	325	18
P47178	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	298	19
P38570	Homo sapiens	Metazoa	1179	18
P10745	Homo sapiens	Metazoa	1247	17
P02766	Homo sapiens	Metazoa	147	20
D0UGJ0	Bothrops pauloensis	Metazoa	139	16
P15085	Homo sapiens	Metazoa	419	16
Q16602	Homo sapiens	Metazoa	461	22
P22969	Equus caballus	Metazoa	182	25
P02670	Capra hircus	Metazoa	192	21
Q8QG87	Bothrops insularis	Metazoa	138	16
Q2NME3	Tityus zulianus	Metazoa	86	20
Q9VA83	Drosophila melanogaster	Metazoa	227	19
G9M8X1	Nephotettix cincticeps	Metazoa	687	19
G9I930	Micrurus tener tener	Metazoa	149	30
B7FDP2	Centruroides suffusus	Metazoa	87	19
B7SNV8	Parabuthus granulatus	Metazoa	82	19
P60153	Homo sapiens	Metazoa	205	26
O75711	Homo sapiens	Metazoa	98	20
P31836	Bos taurus	Metazoa	853	19
G8YYA5	Androctonus amoreuxi	Metazoa	74	22
P42660	Aedes aegypti	Metazoa	471	19
P78733	Phanerodontia chrysosporium	Fungi	380	25
Q8GTM0	Nicotiana alata	Plants	105	25
P01248	Sus scrofa	Metazoa	216	26
P13727	Homo sapiens	Metazoa	222	16
P10163	Homo sapiens	Metazoa	310	16
E9NX73	Fagopyrum tataricum	Plants	149	22
Q9U943	Locusta migratoria	Metazoa	3380	21
P41361	Bos taurus	Metazoa	465	32
Q867F4	Androctonus australis	Metazoa	59	22
P56972	Pandinus imperator	Metazoa	94	19
Q8MMH3	Pimpla hypochondriaca	Metazoa	488	19
Q4WBS1	Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293)	Fungi	438	17
Q2ULM2	Aspergillus oryzae (strain ATCC 42149 / RIB 40)	Fungi	496	16
Q17128	Blaberus discoidalis	Metazoa	72	21
P80098	Homo sapiens	Metazoa	99	23
Q6EER2	Sistrurus tergeminus	Metazoa	138	16
Q8MUP7	Ixodes scapularis	Metazoa	102	21
P28797	Cavia porcellus	Metazoa	605	17
P01015	Rattus norvegicus	Metazoa	477	24
P12337	Oryctolagus cuniculus	Metazoa	565	18
D4A540	Rattus norvegicus	Metazoa	148	31
P10646	Homo sapiens	Metazoa	304	28
Q5KQS1	Gloydius blomhoffii	Metazoa	324	19
P86408	Mesobuthus eupeus	Metazoa	85	19
P13384	Bos taurus	Metazoa	317	33
P09585	Cyprinus carpio	Metazoa	210	23
Q9NJP7	Olivierus martensii	Metazoa	56	28
P98140	Bos taurus	Metazoa	612	19
P00690	Sus scrofa	Metazoa	511	15
Q86YL7	Homo sapiens	Metazoa	162	22
P48842	Aspergillus aculeatus	Fungi	350	16
P19313	Rattus norvegicus	Metazoa	141	27
Q92583	Homo sapiens	Metazoa	94	23
Q26643	Sarcophaga peregrina	Metazoa	629	21
P35053	Rattus norvegicus	Metazoa	558	23
Q2YHJ2	Craspedocephalus borneensis	Metazoa	138	16
Q27309	Bombyx mori	Metazoa	1782	15
P11717	Homo sapiens	Metazoa	2491	40
O54766	Rattus norvegicus	Metazoa	617	20
P01579	Homo sapiens	Metazoa	166	23
P01317	Bos taurus	Metazoa	105	24
P00624	Crotalus atrox	Metazoa	138	16
O14412	Orpinomyces sp. (strain PC-2)	Fungi	245	29
P01700	Homo sapiens	Metazoa	117	19
Q6T6C2	Theromyzon tessulatum	Metazoa	97	22
P04004	Homo sapiens	Metazoa	478	19
F8QN54	Vipera renardi	Metazoa	138	16
Q30HU9	Crassostrea virginica	Metazoa	90	19
Q9Y251	Homo sapiens	Metazoa	543	35
P02776	Homo sapiens	Metazoa	101	31
P01398	Bungarus multicinctus	Metazoa	87	21
P48439	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	350	22
O35701	Mus musculus	Metazoa	481	27
O64393	Triticum aestivum	Plants	148	23
P49862	Homo sapiens	Metazoa	253	22
P19999	Rattus norvegicus	Metazoa	238	17
P22412	Sus scrofa	Metazoa	409	16
P19959	Aipysurus laevis	Metazoa	81	21
O96910	Aplysia californica	Metazoa	76	18
P13725	Homo sapiens	Metazoa	252	25
P01889	Homo sapiens	Metazoa	362	24
P60266	Centruroides suffusus	Metazoa	87	19
P31532	Mus musculus	Metazoa	130	18
Q00657	Rattus norvegicus	Metazoa	2326	29
P24476	Dianthus caryophyllus	Plants	293	23
P23284	Homo sapiens	Metazoa	216	33
Q14641	Homo sapiens	Metazoa	139	25
O60931	Homo sapiens	Metazoa	367	22
P36438	Brassica rapa subsp. rapa	Plants	320	35
A2AEP0	Mus musculus	Metazoa	171	19
Q9JJS8	Rattus norvegicus	Metazoa	685	19
Q63617	Rattus norvegicus	Metazoa	999	32
P02666	Bos taurus	Metazoa	224	15
P31211	Rattus norvegicus	Metazoa	396	22
O62605	Galleria mellonella	Metazoa	218	16
P01568	Homo sapiens	Metazoa	189	23
Q9UHD0	Homo sapiens	Metazoa	177	24
Q9H6E4	Homo sapiens	Metazoa	229	22
P30121	Rattus norvegicus	Metazoa	220	26
P60303	Naja kaouthia	Metazoa	81	21
P83958	Actinidia chinensis var. chinensis	Plants	225	24
P08842	Homo sapiens	Metazoa	583	21
Q9UAH3	Pinctada fucata	Metazoa	129	23
A0A0A1I6E7	Androctonus crassicauda	Metazoa	74	22
Q06577	Tamias sibiricus	Metazoa	215	30
Q59Y31	Candida albicans (strain SC5314 / ATCC MYA-2876)	Fungi	533	21
P02679	Homo sapiens	Metazoa	453	26
P80392	Meleagris gallopavo	Metazoa	64	28
Q42656	Coffea arabica	Plants	378	15
F7J1C8	Flammulina velutipes	Fungi	249	21
P01068	Ananas comosus	Plants	246	19
P04916	Rattus norvegicus	Metazoa	201	18
P28770	Oncorhynchus mykiss	Metazoa	221	21
Q9N2I2	Bos taurus	Metazoa	404	19
P34171	Bombyx mori	Metazoa	164	18
P06859	Protobothrops flavoviridis	Metazoa	138	16
P29460	Homo sapiens	Metazoa	328	22
Q9GSA4	Galleria mellonella	Metazoa	113	19
Q9NL39	Pinctada maxima	Metazoa	140	25
P20476	Craspedocephalus gramineus	Metazoa	138	16
Q99972	Homo sapiens	Metazoa	504	32
P26652	Gallus gallus	Metazoa	212	24
A0A0R4I951	Scolopendra dehaani	Metazoa	70	23
I7JUQ0	Bitis rhinoceros	Metazoa	156	23
Q8AV98	Protobothrops flavoviridis	Metazoa	148	23
Q96RQ9	Homo sapiens	Metazoa	567	21
P09465	Cricetus cricetus	Metazoa	167	16
P23577	Chlamydomonas reinhardtii	Plants	317	31
Q9ERQ6	Rattus norvegicus	Metazoa	571	30
P07994	Bos taurus	Metazoa	360	17
Q9NBW4	Theromyzon tessulatum	Metazoa	101	19
P08236	Homo sapiens	Metazoa	651	22
P04653	Ovis aries	Metazoa	214	15
Q86SE1	Androctonus amoreuxi	Metazoa	83	19
P80245	Naja atra	Metazoa	81	21
J7H670	Lachesis muta	Metazoa	516	18
P02767	Rattus norvegicus	Metazoa	147	20
P01492	Centruroides sculpturatus	Metazoa	87	19
Q9BZR6	Homo sapiens	Metazoa	473	26
Q8VCT4	Mus musculus	Metazoa	565	18
Q6UXL0	Homo sapiens	Metazoa	311	29
P02814	Homo sapiens	Metazoa	79	22
Q5KSB7	Oligobrachia mashikoi	Metazoa	161	16
Q63373	Rattus norvegicus	Metazoa	468	46
P21744	Rattus norvegicus	Metazoa	254	21
P14925	Rattus norvegicus	Metazoa	976	25
Q6ASY2	Oryza sativa subsp. japonica	Plants	178	26
F1CGT6	Centruroides suffusus	Metazoa	82	17
P01624	Homo sapiens	Metazoa	115	20
P02755	Bubalus bubalis	Metazoa	180	18
Q765P4	Holotrichia diomphalia	Metazoa	197	23
Q07CZ7	Lutzomyia longipalpis	Metazoa	397	18
P16882	Mus musculus	Metazoa	650	24
E6Y8S8	Apium graveolens	Plants	118	27
A0A5C2A2T2	Conus purpurascens	Metazoa	178	24
P01027	Mus musculus	Metazoa	1663	24
Q28862	Bos taurus	Metazoa	310	16
A0A411EZW9	Agkistrodon piscivorus leucostoma	Metazoa	138	16
P82662	Ophiophagus hannah	Metazoa	91	21
P0DPU7	Scolopendra dehaani	Metazoa	78	25
P07456	Bos taurus	Metazoa	179	24
P19007	Oryctolagus cuniculus	Metazoa	347	18
P54318	Rattus norvegicus	Metazoa	468	16
Q59XX2	Candida albicans (strain SC5314 / ATCC MYA-2876)	Fungi	378	32
P19667	Molineria latifolia	Plants	158	22
P83371	Oncorhynchus keta	Metazoa	508	25
I6S7I0	Scolopendra mutilans	Metazoa	64	18
P0DUS9	Doratifera vulnerans	Metazoa	59	19
Q9GZV9	Homo sapiens	Metazoa	251	24
P18626	Capra hircus	Metazoa	214	15
Q7T045	Macrovipera lebetinus	Metazoa	146	23
P12799	Bos taurus	Metazoa	444	24
B9A8D7	Crassostrea virginica	Metazoa	85	18
P07634	Sus scrofa	Metazoa	131	25
P34115	Dictyostelium discoideum	Other	730	20
P80370	Homo sapiens	Metazoa	383	23
P30348	Rattus norvegicus	Metazoa	100	31
P31429	Oryctolagus cuniculus	Metazoa	410	16
P01326	Mus musculus	Metazoa	110	24
P24627	Bos taurus	Metazoa	708	19
P23806	Protobothrops flavoviridis	Metazoa	152	23
O93426	Crotalus durissus terrificus	Metazoa	158	23
Q9TRM8	Canis lupus familiaris	Metazoa	177	25
P16235	Rattus norvegicus	Metazoa	700	26
F1NSM7	Gallus gallus	Metazoa	743	18
Q965E2	Psoroptes ovis	Metazoa	143	17
O11780	Sus scrofa	Metazoa	683	23
O00585	Homo sapiens	Metazoa	134	23
P55145	Homo sapiens	Metazoa	182	24
P00652	Aspergillus clavatus (strain ATCC 1007 / CBS 513.65 / DSM 816 / NCTC 3887 / NRRL 1 / QM 1276 / 107)	Fungi	132	26
Q15762	Homo sapiens	Metazoa	336	18
C0STK7	Elaphe climacophora	Metazoa	332	23
P28325	Homo sapiens	Metazoa	142	20
Q2PG81	Protobothrops elegans	Metazoa	137	16
P01909	Homo sapiens	Metazoa	254	23
P22063	Rattus norvegicus	Metazoa	1040	30
P0DUJ5	Pterois volitans	Metazoa	66	22
P00991	Vipera ammodytes ammodytes	Metazoa	90	24
P02663	Bos taurus	Metazoa	222	15
P07596	Hordeum vulgare	Plants	203	22
Q60477	Cavia porcellus	Metazoa	244	21
O95750	Homo sapiens	Metazoa	216	24
P15399	Rattus norvegicus	Metazoa	177	17
P81623	Bos taurus	Metazoa	258	29
Q40975	Papaver rhoeas	Plants	139	19
P35496	Sus scrofa	Metazoa	137	21
P05307	Bos taurus	Metazoa	510	20
Q9FRV0	Secale cereale	Plants	266	23
Q8T1G4	Dictyostelium discoideum	Other	181	19
Q02763	Homo sapiens	Metazoa	1124	22
Q04756	Homo sapiens	Metazoa	655	35
P01335	Cyprinus carpio	Metazoa	108	21
Q9H293	Homo sapiens	Metazoa	177	32
Q7M438	Dictyostelium discoideum	Other	223	25
Q60675	Mus musculus	Metazoa	3118	19
P13224	Homo sapiens	Metazoa	206	25
P14612	Pseudechis australis	Metazoa	89	21
Q2YHJ9	Craspedocephalus puniceus	Metazoa	138	16
P83673	Crassostrea virginica	Metazoa	184	20
P46168	Bos taurus	Metazoa	62	22
P83508	Cavia porcellus	Metazoa	170	16
P01270	Homo sapiens	Metazoa	115	25
Q76CA2	Monoplex parthenopeus	Metazoa	275	23
B8JLQ9	Danio rerio	Metazoa	363	24
P51654	Homo sapiens	Metazoa	580	24
P01342	Myxine glutinosa	Metazoa	115	26
Q15399	Homo sapiens	Metazoa	786	24
Q6UWI4	Homo sapiens	Metazoa	295	33
P58738	Zea mays	Plants	269	24
P33559	Aspergillus kawachii (strain NBRC 4308)	Fungi	327	25
P12763	Bos taurus	Metazoa	359	18
Q8T0Y7	Aplysia californica	Metazoa	141	26
P01139	Mus musculus	Metazoa	241	18
Q8NK90	Aspergillus kawachii (strain NBRC 4308)	Fungi	628	25
P05013	Homo sapiens	Metazoa	189	20
Q9H5V8	Homo sapiens	Metazoa	836	29
P00791	Sus scrofa	Metazoa	385	15
Q6TPK4	Actinidia deliciosa	Plants	116	26
P16444	Homo sapiens	Metazoa	411	16
P19876	Homo sapiens	Metazoa	107	34
P60212	Tityus obscurus	Metazoa	87	20
P01814	Homo sapiens	Metazoa	119	19
O13547	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	238	22
Q01528	Limulus polyphemus	Metazoa	172	19
Q9PW68	Typhlonectes natans	Metazoa	97	28
O60046	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	217	20
A8CG82	Daboia siamensis	Metazoa	138	16
Q95WX6	Olivierus martensii	Metazoa	85	21
P01350	Homo sapiens	Metazoa	101	21
P01570	Homo sapiens	Metazoa	189	23
P02746	Homo sapiens	Metazoa	253	27
Q556R7	Dictyostelium discoideum	Other	303	24
E0XKJ9	Tabanus yao	Metazoa	349	25
P55774	Homo sapiens	Metazoa	89	20
P00651	Aspergillus oryzae (strain ATCC 42149 / RIB 40)	Fungi	130	26
P13909	Bos taurus	Metazoa	402	23
Q8I7X1	Porcellio scaber	Metazoa	145	21
P02222	Chironomus thummi thummi	Metazoa	160	15
U3FAE1	Micrurus fulvius	Metazoa	84	21
P12822	Oryctolagus cuniculus	Metazoa	1310	33
P01701	Homo sapiens	Metazoa	117	19
A1X158	Perna viridis	Metazoa	561	20
Q53B58	Ophiophagus hannah	Metazoa	93	21
Q9NPF0	Homo sapiens	Metazoa	282	35
P07288	Homo sapiens	Metazoa	261	17
P30224	Arabidopsis thaliana	Plants	80	29
P02230	Chironomus thummi thummi	Metazoa	151	15
M5AXY1	Felis catus	Metazoa	201	18
P12420	Equus caballus	Metazoa	229	30
Q7M4T0	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	480	17
Q02988	Pleurodeles waltl	Metazoa	172	20
Q8TAL6	Homo sapiens	Metazoa	211	18
P20334	Mus musculus	Metazoa	256	23
B8M9H9	Talaromyces stipitatus (strain ATCC 10500 / CBS 375.48 / QM 6759 / NRRL 1006)	Fungi	358	18
Q9PTC3	Notechis ater	Metazoa	201	19
P0C552	Bungarus fasciatus	Metazoa	78	21
P33767	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	430	20
P02669	Ovis aries	Metazoa	192	21
O15455	Homo sapiens	Metazoa	904	23
Q9NQ34	Homo sapiens	Metazoa	198	33
B0JFB8	Antheraea mylitta	Metazoa	105	19
O14625	Homo sapiens	Metazoa	94	21
P35759	Polistes exclamans	Metazoa	226	21
P01901	Mus musculus	Metazoa	369	21
G1CWH8	Clitoria ternatea	Plants	123	28
P02760	Homo sapiens	Metazoa	352	19
Q6UW32	Homo sapiens	Metazoa	110	24
Q9LJD9	Arabidopsis thaliana	Plants	60	27
P08289	Rattus norvegicus	Metazoa	524	17
Q9I840	Calloselasma rhodostoma	Metazoa	146	23
P41222	Homo sapiens	Metazoa	190	22
Q9UAC8	Olivierus martensii	Metazoa	85	19
P19872	Locusta migratoria	Metazoa	77	22
P02749	Homo sapiens	Metazoa	345	19
O60565	Homo sapiens	Metazoa	184	24
P81534	Homo sapiens	Metazoa	67	22
C1IC53	Walterinnesia aegyptia	Metazoa	83	24
P84039	Rattus norvegicus	Metazoa	477	24
C6JUP2	Micrurus corallinus	Metazoa	88	21
Q9P121	Homo sapiens	Metazoa	344	33
P05186	Homo sapiens	Metazoa	524	17
Q8UUG0	Morone saxatilis	Metazoa	79	22
P36897	Homo sapiens	Metazoa	503	33
Q5U9S1	Sus scrofa	Metazoa	249	20
P01477	Crotalus helleri	Metazoa	70	22
P24336	Hottentotta judaicus	Metazoa	85	21
P82290	Anopheles gambiae	Metazoa	58	23
P52013	Caenorhabditis elegans	Metazoa	204	22
Q9DGI0	Bothrops jararaca	Metazoa	341	19
Q3YJT5	Solanum tuberosum	Plants	387	23
P00987	Bungarus multicinctus	Metazoa	85	24
P11643	Hordeum vulgare	Plants	171	24
P30986	Eschscholzia californica	Plants	538	23
Q5MJP5	Anuroctonus phaiodactylus	Metazoa	90	18
A0A1S3PBB7	Salmo salar	Metazoa	375	23
P0DPV2	Scolopendra dehaani	Metazoa	210	23
G1CWH3	Clitoria ternatea	Plants	123	28
Q8N4F0	Homo sapiens	Metazoa	458	20
P08899	Anguilla japonica	Metazoa	209	19
P16619	Homo sapiens	Metazoa	93	23
P34754	Aspergillus niger	Fungi	479	19
P01227	Ovis aries	Metazoa	129	19
Q90249	Bothrops jararacussu	Metazoa	137	16
A0A7J6K7I9	Toxoplasma gondii	Other	553	64
Q589G4	Anoplius samariensis	Metazoa	75	17
P67977	Semnopithecus entellus	Metazoa	148	18
Q07558	Hirudinaria manillensis	Metazoa	84	20
Q00945	Lymnaea stagnalis	Metazoa	155	26
P02712	Tetronarce californica	Metazoa	493	24
P10144	Homo sapiens	Metazoa	247	18
P01714	Homo sapiens	Metazoa	112	20
P82943	Bos taurus	Metazoa	92	21
P81498	Suncus murinus	Metazoa	389	16
P80513	Bos taurus	Metazoa	179	21
P67976	Ovis aries	Metazoa	180	18
O43852	Homo sapiens	Metazoa	315	19
Q26239	Rhodnius prolixus	Metazoa	207	23
P20740	Gallus gallus	Metazoa	1473	36
P08905	Mus musculus	Metazoa	148	18
P29788	Mus musculus	Metazoa	478	19
P10762	Locusta migratoria	Metazoa	179	16
Q9Y6C2	Homo sapiens	Metazoa	1016	21
P10257	Oncorhynchus keta	Metazoa	137	24
P24817	Momordica charantia	Plants	286	23
P63153	Sus scrofa	Metazoa	146	23
P0DJI8	Homo sapiens	Metazoa	122	18
Q96HE7	Homo sapiens	Metazoa	468	23
P28041	Hordeum vulgare	Plants	145	25
P01721	Homo sapiens	Metazoa	117	19
Q86YD3	Homo sapiens	Metazoa	366	26
O14786	Homo sapiens	Metazoa	923	21
Q13433	Homo sapiens	Metazoa	755	28
P49182	Mus musculus	Metazoa	478	23
Q942A7	Oryza sativa subsp. japonica	Plants	235	27
C9X4J9	Tityus discrepans	Metazoa	80	20
B2G331	Radianthus crispa	Metazoa	78	22
P23360	Thermoascus aurantiacus	Fungi	329	26
P04405	Glycine max	Plants	485	18
P33575	Petromyzon marinus	Metazoa	139	19
Q61508	Mus musculus	Metazoa	559	19
P15515	Homo sapiens	Metazoa	57	19
P08878	Crotalus durissus terrificus	Metazoa	138	37
Q9Z0K8	Mus musculus	Metazoa	512	23
P05790	Bombyx mori	Metazoa	5263	21
Q6UWM7	Homo sapiens	Metazoa	567	21
Q8NBI3	Homo sapiens	Metazoa	349	25
Q8N6Q3	Homo sapiens	Metazoa	437	21
Q9NBW2	Olivierus martensii	Metazoa	83	19
O14763	Homo sapiens	Metazoa	440	55
P35555	Homo sapiens	Metazoa	2871	24
Q9D3H2	Mus musculus	Metazoa	163	16
P37173	Homo sapiens	Metazoa	567	22
O43827	Homo sapiens	Metazoa	346	26
P00716	Oryctolagus cuniculus	Metazoa	141	19
Q05928	Mus musculus	Metazoa	177	31
Q16674	Homo sapiens	Metazoa	131	24
P15261	Mus musculus	Metazoa	477	25
Q96DU3	Homo sapiens	Metazoa	332	21
P70090	Craspedocephalus gramineus	Metazoa	138	16
P17935	Vipera ammodytes ammodytes	Metazoa	138	16
A7VN13	Protobothrops flavoviridis	Metazoa	107	19
A0A1L6K371	Juglans nigra	Plants	510	23
Q90935	Gallus gallus	Metazoa	410	16
P0DUS5	Doratifera vulnerans	Metazoa	57	24
P22325	Cavia porcellus	Metazoa	405	24
P12550	Chironomus thummi thummi	Metazoa	162	16
A0A2I8B352	Paralithodes camtschaticus	Metazoa	71	23
Q05091	Pyrus communis	Plants	330	24
Q8HY17	Sus scrofa	Metazoa	140	26
P04073	Rattus norvegicus	Metazoa	392	16
Q70SU8	Salmo salar	Metazoa	342	19
P00433	Armoracia rusticana	Plants	353	30
P55773	Homo sapiens	Metazoa	120	21
P0DQP7	Cerrophidion godmani	Metazoa	200	19
P84516	Sorghum bicolor	Plants	362	31
Q7L513	Homo sapiens	Metazoa	359	27
P24091	Nicotiana tabacum	Plants	324	23
Q6UWN5	Homo sapiens	Metazoa	251	25
P19835	Homo sapiens	Metazoa	753	20
P59899	Centruroides limpidus	Metazoa	87	19
Q4TUA4	Olivierus martensii	Metazoa	85	19
O60844	Homo sapiens	Metazoa	167	16
Q9BYZ8	Homo sapiens	Metazoa	158	22
P01494	Centruroides sculpturatus	Metazoa	87	19
P0C8G6	Pomacea canaliculata	Metazoa	565	26
P10456	Laticauda colubrina	Metazoa	83	21
Q8I817	Aplysia californica	Metazoa	88	19
O00105	Aspergillus niger	Fungi	564	19
P21828	Bombyx mori	Metazoa	262	16
Q5BGU9	Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139)	Fungi	366	18
Q07092	Homo sapiens	Metazoa	1604	21
Q6UWM5	Homo sapiens	Metazoa	242	22
P02896	Trypanosoma brucei brucei	Other	526	33
Q8I948	Acanthoscurria gomesiana	Metazoa	156	23
P01174	Rattus norvegicus	Metazoa	137	19
Q60767	Mus musculus	Metazoa	1723	27
Q05927	Bos taurus	Metazoa	574	26
P01703	Homo sapiens	Metazoa	118	19
Q64610	Rattus norvegicus	Metazoa	887	27
Q924B5	Rattus norvegicus	Metazoa	250	25
P07759	Mus musculus	Metazoa	418	21
P00698	Gallus gallus	Metazoa	147	18
P49921	Sus scrofa	Metazoa	91	23
Q6UWV6	Homo sapiens	Metazoa	458	21
O93427	Crotalus durissus terrificus	Metazoa	148	23
P02747	Homo sapiens	Metazoa	245	28
P49755	Homo sapiens	Metazoa	219	31
Q9P246	Homo sapiens	Metazoa	746	14
P53616	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	420	24
P10909	Homo sapiens	Metazoa	449	22
Q16663	Homo sapiens	Metazoa	113	21
P05060	Homo sapiens	Metazoa	677	20
P32947	Diutina rugosa	Fungi	549	15
P58154	Lymnaea stagnalis	Metazoa	229	19
Q41159	Robinia pseudoacacia	Plants	285	31
P57087	Homo sapiens	Metazoa	298	28
P60304	Naja atra	Metazoa	81	21
P80035	Canis lupus familiaris	Metazoa	398	19
P06281	Mus musculus	Metazoa	402	21
P20827	Homo sapiens	Metazoa	205	18
P08648	Homo sapiens	Metazoa	1049	41
Q6UW88	Homo sapiens	Metazoa	154	22
P55203	Bos taurus	Metazoa	1110	56
P02779	Oryctolagus cuniculus	Metazoa	91	21
P0DUQ6	Conus planorbis	Metazoa	70	21
P56612	Tityus stigmurus	Metazoa	84	19
Q91XV6	Rattus norvegicus	Metazoa	94	17
Q8WML4	Bos taurus	Metazoa	580	22
Q6H3D2	Trimeresurus stejnegeri	Metazoa	138	16
Q9P0V8	Homo sapiens	Metazoa	285	22
Q9XYT4	Cryptorchestia cavimana	Metazoa	128	20
P31420	Manduca sexta	Metazoa	274	18
P20155	Homo sapiens	Metazoa	84	23
P80325	Cavia porcellus	Metazoa	96	23
P86406	Mesobuthus eupeus	Metazoa	86	20
P15941	Homo sapiens	Metazoa	1255	23
Q9GV28	Bombyx mori	Metazoa	433	16
Q9Y279	Homo sapiens	Metazoa	399	19
Q02747	Homo sapiens	Metazoa	115	21
Q9UHF4	Homo sapiens	Metazoa	553	29
G1CWH1	Clitoria ternatea	Plants	132	28
P01241	Homo sapiens	Metazoa	217	26
P04557	Bos taurus	Metazoa	140	25
Q08830	Homo sapiens	Metazoa	312	22
P28798	Mus musculus	Metazoa	589	17
P48816	Bombyx mori	Metazoa	137	18
B3EWY1	Mesobuthus gibbosus	Metazoa	59	22
P0DMM8	Tityus trivittatus	Metazoa	84	20
Q9D6Y1	Mus musculus	Metazoa	273	21
P21226	Pisum sativum	Plants	324	20
P83472	Lumbricus terrestris	Metazoa	86	22
P06756	Homo sapiens	Metazoa	1048	30
P60301	Naja atra	Metazoa	81	21
P26842	Homo sapiens	Metazoa	260	19
P18650	Sus scrofa	Metazoa	317	18
Q945U0	Phytophthora sojae	Other	257	28
